date,Mkt-RF,SMB,HML,RMW,CMA,RF
20180102,0.85,0.3,-0.23,-0.49,0.21,0.005
20180103,0.59,-0.48,-0.2,-0.74,-0.07,0.005
20180104,0.42,-0.23,0.25,-0.02,0.3,0.005
20180105,0.66,-0.36,-0.26,0.39,-0.37,0.005
20180108,0.19,-0.21,0.05,-0.09,0.03,0.005
20180109,0.15,-0.36,-0.05,-0.11,-0.06,0.005
20180110,-0.07,0.14,0.59,-0.35,0.01,0.005
20180111,0.87,1.11,0.31,-0.22,0.47,0.005
20180112,0.66,-0.31,0.16,-0.1,0.15,0.005
20180116,-0.49,-1.0,-0.01,0.43,-0.33,0.005
20180117,0.95,-0.07,-0.12,-0.1,-0.03,0.005
20180118,-0.18,-0.44,-0.25,0.3,-0.29,0.005
20180119,0.57,0.94,-0.05,0.1,0.14,0.005
20180122,0.77,-0.34,-0.16,-0.54,0.19,0.005
20180123,0.22,0.07,-0.36,-0.39,-0.25,0.005
20180124,-0.13,-0.71,0.42,-0.01,0.14,0.005
20180125,0.07,0.13,-0.48,0.19,-0.17,0.005
20180126,1.11,-0.64,-0.55,0.28,-0.19,0.005
20180129,-0.62,0.0,-0.22,0.15,-0.27,0.005
20180130,-1.06,0.12,-0.21,0.4,-0.34,0.005
20180131,-0.07,-0.69,0.1,0.09,-0.09,0.005
20180201,0.03,0.14,0.55,-0.51,0.03,0.006
20180202,-2.13,0.01,-0.29,0.63,-0.44,0.006
20180205,-4.03,0.65,-0.56,0.17,-0.16,0.006
20180206,1.67,-0.47,-0.2,0.06,-0.19,0.006
20180207,-0.37,0.58,0.22,0.34,0.33,0.006
20180208,-3.68,0.83,0.5,0.42,0.09,0.006
20180209,1.36,-0.57,0.14,0.16,-0.47,0.006
20180212,1.36,-0.45,-0.28,-0.26,-0.19,0.006
20180213,0.31,0.1,-0.25,0.21,-0.03,0.006
20180214,1.52,0.29,0.48,-0.69,-0.07,0.006
20180215,1.21,-0.16,-0.65,0.21,-0.3,0.006
20180216,0.03,0.35,0.16,0.02,0.09,0.006
20180220,-0.62,-0.29,-0.23,-0.25,-0.52,0.006
20180221,-0.43,0.8,0.21,0.09,-0.28,0.006
20180222,0.01,-0.04,-0.41,0.12,0.45,0.006
20180223,1.54,-0.37,-0.12,-0.2,-0.1,0.006
20180226,1.12,-0.45,-0.06,-0.14,-0.23,0.006
20180227,-1.25,-0.2,0.03,-0.07,-0.05,0.006
20180228,-1.1,-0.42,-0.29,0.23,-0.27,0.006
20180301,-1.18,0.96,-0.01,-0.26,0.05,0.006
20180302,0.7,1.1,-0.48,-0.39,-0.39,0.006
20180305,1.06,-0.41,0.26,-0.59,0.09,0.006
20180306,0.36,0.68,0.09,0.26,-0.03,0.006
20180307,0.05,0.77,-0.42,-0.1,-0.43,0.006
20180308,0.37,-0.57,-0.35,0.02,-0.18,0.006
20180309,1.7,-0.2,0.28,-0.28,-0.04,0.006
20180312,-0.09,0.43,-0.07,-0.35,-0.22,0.006
20180313,-0.67,0.09,0.01,0.47,0.05,0.006
20180314,-0.53,0.16,-0.56,-0.1,-0.42,0.006
20180315,-0.18,-0.41,0.31,0.09,-0.15,0.006
20180316,0.25,0.47,0.19,0.05,0.32,0.006
20180319,-1.38,0.41,0.42,0.33,0.12,0.006
20180320,0.15,-0.11,-0.36,-0.05,-0.11,0.006
20180321,-0.06,0.7,0.44,-1.12,0.8,0.006
20180322,-2.54,0.4,-0.49,0.21,0.04,0.006
20180323,-2.09,0.11,-0.22,0.12,0.73,0.006
20180326,2.67,-0.64,0.01,-0.01,-0.6,0.006
20180327,-1.87,-0.23,0.36,0.79,0.55,0.006
20180328,-0.35,0.19,0.66,0.75,0.08,0.006
20180329,1.41,-0.29,-0.2,-0.37,-0.18,0.006
20180402,-2.29,-0.08,0.38,0.15,-0.1,0.007
20180403,1.24,-0.04,0.17,0.26,0.13,0.007
20180404,1.17,0.33,-0.31,0.08,-0.14,0.007
20180405,0.75,0.06,0.47,0.11,0.25,0.007
20180406,-2.19,0.39,-0.05,0.14,0.04,0.007
20180409,0.3,-0.25,-0.5,-0.75,-0.31,0.007
20180410,1.77,0.33,-0.13,-0.87,0.37,0.007
20180411,-0.49,0.8,-0.31,-0.63,0.27,0.007
20180412,0.84,-0.16,0.19,-0.24,0.0,0.007
20180413,-0.37,-0.1,-0.26,-0.09,0.15,0.007
20180416,0.82,0.14,-0.03,0.8,0.03,0.007
20180417,1.09,0.01,-1.18,-0.29,-0.46,0.007
20180418,0.13,0.24,0.04,-0.29,0.42,0.007
20180419,-0.49,-0.31,1.07,-0.48,0.1,0.007
20180420,-0.81,0.11,0.59,-0.58,0.28,0.007
20180423,-0.05,-0.06,0.21,0.32,0.08,0.007
20180424,-1.3,0.63,1.0,0.07,0.23,0.007
20180425,0.1,-0.27,0.04,0.4,0.18,0.007
20180426,0.96,-0.54,-0.87,-0.58,-0.48,0.007
20180427,0.01,-0.27,0.04,0.64,0.08,0.007
20180430,-0.8,-0.05,-0.09,-0.46,-0.03,0.007
20180501,0.24,0.25,-0.56,-0.03,-0.98,0.006
20180502,-0.63,1.26,-0.34,0.03,-0.03,0.006
20180503,-0.25,-0.58,-0.17,0.02,-0.1,0.006
20180504,1.3,-0.04,-0.18,-0.4,0.06,0.006
20180507,0.42,0.38,-0.35,-0.54,-0.32,0.006
20180508,0.07,0.5,0.26,-0.28,0.14,0.006
20180509,0.89,-0.24,0.26,-0.91,0.0,0.006
20180510,0.84,-0.38,-0.06,0.27,-0.34,0.006
20180511,0.19,0.11,-0.37,0.25,0.13,0.006
20180514,0.05,-0.29,0.11,-0.22,0.5,0.006
20180515,-0.55,0.71,0.41,-0.08,0.43,0.006
20180516,0.5,0.69,-0.25,0.36,0.1,0.006
20180517,0.02,0.87,0.29,-0.36,0.3,0.006
20180518,-0.23,0.47,-0.61,0.11,-0.2,0.006
20180521,0.72,-0.2,0.42,0.17,0.07,0.006
20180522,-0.42,-0.66,0.62,-0.31,-0.39,0.006
20180523,0.29,-0.07,-0.7,-0.01,-0.38,0.006
20180524,-0.16,0.33,-0.34,0.52,0.09,0.006
20180525,-0.21,0.22,-0.42,0.59,-0.53,0.006
20180529,-1.03,1.12,-0.99,0.17,-0.02,0.006
20180530,1.31,0.04,0.38,-0.74,0.21,0.006
20180531,-0.7,0.04,-0.41,-0.51,-0.16,0.006
20180601,1.06,-0.22,-0.11,-0.06,-0.17,0.006
20180604,0.48,0.14,-0.46,1.06,-0.3,0.006
20180605,0.16,0.79,-0.43,0.23,0.12,0.006
20180606,0.86,-0.28,0.19,-0.02,0.15,0.006
20180607,-0.14,-0.24,0.91,0.17,0.59,0.006
20180608,0.31,0.05,-0.41,0.27,-0.19,0.006
20180611,0.12,0.15,-0.17,0.22,0.24,0.006
20180612,0.23,0.2,-0.63,0.09,-0.17,0.006
20180613,-0.33,0.05,-0.18,-0.53,-0.16,0.006
20180614,0.27,0.2,-0.99,0.0,-0.6,0.006
20180615,-0.08,0.11,-0.24,0.68,-0.15,0.006
20180618,-0.09,0.75,0.08,-0.45,0.04,0.006
20180619,-0.38,0.52,-0.15,-0.24,-0.36,0.006
20180620,0.23,0.66,-0.49,-0.14,0.08,0.006
20180621,-0.73,-0.56,0.34,0.45,0.13,0.006
20180622,0.11,-0.05,0.46,-0.55,0.86,0.006
20180625,-1.48,-0.47,0.57,0.62,0.15,0.006
20180626,0.27,0.52,-0.24,-0.5,0.1,0.006
20180627,-1.02,-0.98,0.37,-0.08,0.53,0.006
20180628,0.58,-0.19,-0.5,-0.17,-0.56,0.006
20180629,0.07,-0.24,-0.24,-0.24,0.02,0.006
20180702,0.36,0.42,-0.23,-0.07,-0.56,0.008
20180703,-0.44,0.76,0.0,-0.31,0.46,0.008
20180705,0.87,0.39,-0.44,0.35,-0.17,0.008
20180706,0.88,-0.02,-0.31,-0.25,-0.12,0.008
20180709,0.93,-0.29,0.84,0.01,-0.19,0.008
20180710,0.21,-0.83,-0.15,0.1,0.27,0.008
20180711,-0.69,-0.06,-0.45,-0.1,-0.32,0.008
20180712,0.86,-0.41,-1.09,-0.04,-0.49,0.008
20180713,0.08,-0.17,-0.27,0.34,0.19,0.008
20180716,-0.16,-0.63,0.96,-0.21,-0.16,0.008
20180717,0.48,0.16,-0.75,0.14,-0.23,0.008
20180718,0.27,-0.15,0.65,-0.17,-0.14,0.008
20180719,-0.34,0.93,-0.36,0.23,0.05,0.008
20180720,-0.1,-0.16,0.12,0.09,-0.24,0.008
20180723,0.15,-0.19,0.53,-0.2,-0.19,0.008
20180724,0.22,-1.32,0.41,0.46,0.11,0.008
